Machine,Circuit,Diagnosis,Rank,Qty,Time - First,Time - Last,Time - Duration,Impact,FDD Analysis Type Id,Notes
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 11:35,6/12/14 11:35,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 12:05,6/12/14 12:05,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 12:35,6/12/14 12:35,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 13:05,6/12/14 13:05,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 13:35,6/12/14 13:35,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 14:05,6/12/14 14:05,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 14:35,6/12/14 14:35,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 15:05,6/12/14 15:05,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 15:35,6/12/14 15:35,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 16:05,6/12/14 16:05,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 16:41,6/12/14 16:41,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 17:11,6/12/14 17:11,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/12/14 17:41,6/12/14 17:41,"0 d, 0 h, 0 m, 0 s",0,414,
